iter	Passed	Remaining
0	0	72
1	1	76
2	2	78
3	3	72
4	3	70
5	4	67
6	4	66
7	5	65
8	6	64
9	7	63
10	7	61
11	8	60
12	8	58
13	9	57
14	10	56
15	10	55
16	11	53
17	11	52
18	12	52
19	12	51
20	13	51
21	14	51
22	15	50
23	15	49
24	16	50
25	17	50
26	18	49
27	19	49
28	20	48
29	20	48
30	21	47
31	21	46
32	22	46
33	23	45
34	23	44
35	24	43
36	25	43
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
